"Date","AAPL","MSFT","META","V","JPM","C","BTC-USD","UEC","GM","ET"
2022-06-06,143.832458496094,262.101501464844,193.338790893555,208.125915527344,119.519309997559,45.6839485168457,31370.671875,3.96000003814697,36.7838172912598,9.20242118835449
2022-06-07,146.361892700195,265.758666992188,194.732223510742,209.650650024414,119.832557678223,46.3061027526855,31155.478515625,4.57000017166138,37.3088798522949,9.55158615112305
2022-06-08,145.62370300293,263.720428466797,195.717590332031,208.673248291016,117.925476074219,45.6928367614746,30214.35546875,4.46999979019165,36.6476898193359,9.51279067993164
2022-06-09,140.387741088867,258.239471435547,183.136871337891,201.450317382812,115.447204589844,44.4129753112793,30111.998046875,4.03000020980835,35.6364517211914,9.34208679199219
2022-06-10,134.964736938477,246.731384277344,174.746429443359,194.999496459961,110.140556335449,42.4043006896973,29083.8046875,4.01999998092651,34.0417976379395,9.03171825408936
2022-06-13,129.797622680664,236.266830444336,163.489456176758,187.91340637207,106.86075592041,40.6089401245117,22487.388671875,3.52999997138977,31.387300491333,8.58168506622314
2022-06-14,130.663726806641,238.441680908203,162.961944580078,189.144973754883,105.082649230957,40.8489151000977,22206.79296875,3.25,32.2818603515625,8.39546489715576
2022-06-15,133.291549682617,245.531799316406,168.555587768555,191.72526550293,106.326400756836,42.2887649536133,22572.83984375,3.39000010490417,33.2347602844238,8.31787204742432
2022-06-16,128.006362915039,238.909805297852,160.115371704102,184.776016235352,104.502250671387,41.6754951477051,20381.650390625,3.32999992370605,30.5510807037354,7.86007881164551
2022-06-17,129.482650756836,241.523498535156,162.971923828125,185.714294433594,104.133728027344,41.3466415405273,20471.482421875,3.32999992370605,30.9983654022217,7.6273021697998
2022-06-21,133.724594116211,247.462844848633,156.31330871582,189.995269775391,106.713340759277,42.6265029907227,20710.59765625,3.50999999046326,31.7373466491699,8.05405902862549
2022-06-22,133.212860107422,246.867935180664,155.118927001953,189.438171386719,106.11449432373,41.9510154724121,19987.029296875,3.25999999046326,31.9220905303955,7.75920867919922
2022-06-23,136.086715698242,252.456161499023,158.005310058594,192.194412231445,104.953689575195,41.1955413818359,21085.876953125,3.27999997138977,32.0776672363281,7.59626531600952
2022-06-24,139.423233032227,261.077484130859,169.361801147461,200.863845825195,108.086090087891,42.5376205444336,21231.65625,3.5699999332428,33.8570594787598,7.83679962158203
2022-06-27,139.423233032227,258.337005615234,168.694931030273,198.957962036133,107.220062255859,42.5109558105469,20735.478515625,3.60999989509583,33.6723175048828,7.86783742904663
2022-06-28,135.269836425781,250.135040283203,159.92626953125,193.64094543457,106.704132080078,41.959903717041,20280.634765625,3.36999988555908,33.0500144958496,8.02302265167236
2022-06-29,137.03157043457,253.821548461914,163.170989990234,194.989715576172,106.225067138672,41.8621368408203,20104.0234375,3.1800000667572,32.5249443054199,7.89887571334839
